timestamp_ms,accx,accy,accz,gyrox,gyroy,gyroz,magx,magy,magz,rssi_MAC1,rssi_MAC2
30205,0.198,0.152,0.8899,-3.9062,-7.0801,-3.7842,18,-29,7,-80,-66
30649,-0.0726,0.0397,1.0085,-17.2729,-29.48,6.897,18,-21,12,-80,-71
31101,0.2037,0.2233,0.8857,-9.2163,26.4893,13.2446,21,-21,11,-84,   NA 
31535,0.2224,0.1456,0.9911,1.2207,6.5918,-2.8076,23,-22,15,-79,-74
31982,0.2085,0.1953,1.0342,1.0986,-6.1035,-14.4043,21,-23,11,-79,-76
32418,0.3533,0.0153,0.9672,-18.7378,-24.0478,-100.4028,21,-26,12,-78,-75
32861,0.0916,0.2981,1.1088,-33.3252,-2.0752,-84.4116,6,-46,12,-87,-75
33285,0.1537,0.1656,1.0319,0.3662,7.019,-8.1787,7,-46,12,-80,   NA 
33716,0.1571,0.1492,0.942,4.1504,-3.2959,-6.1646,4,-54,15,   NA ,-78
34148,-0.0287,0.0947,1.014,-8.7891,-3.6621,-4.5776,0,-52,16,-81,   NA 
34606,0.2683,0.1957,0.9142,-9.6436,-13.916,16.3574,-1,-32,17,-78,   NA 
35044,0.317,0.1919,1.0588,-6.2866,4.3945,-15.564,5,-26,19,-79,-79
35482,0.1246,0.1167,0.9104,-0.4883,-9.7046,-1.4038,8,-26,20,-79,-79
35915,-0.0872,0.2218,1.179,-3.6621,-18.6768,10.9863,21,-16,19,-83,-77
36346,0.2472,0.226,1.014,-5.188,15.9302,-0.7324,37,-22,12,   NA ,   NA 
36765,0.1335,0.1918,1.0042,-0.1221,16.2964,-2.0142,39,-33,10,-77,-77
37195,0.116,0.1871,1.0428,2.2583,1.2207,-5.4932,35,-38,14,-81,-78
37632,-0.0861,0.1119,1.145,-0.3052,-19.9585,5.7983,29,-39,8,-82,   NA 
38086,0.2147,0.145,0.9719,-4.1504,16.7847,-0.3052,21,-37,8,-81,-77
38549,0.2491,0.0718,1.0027,2.5635,11.1694,-27.5879,21,-45,1,-84,-74
38988,0.2136,0.296,1.0221,-34.668,-19.8364,-150.6958,-11,-54,6,-85,   NA 
39443,0.099,0.0769,1.1591,-19.5923,6.2256,13.1836,-16,-50,13,-83,-78
39883,-0.1521,0.0872,1.2159,-12.3901,13.2446,3.54,-15,-50,9,-86,-72
40320,0.2913,0.1547,0.9877,-10.8032,-4.4556,1.2817,-9,-47,8,-80,-73
40773,0.2672,0.1896,0.9811,-1.4038,7.9956,-13.855,-11,-48,3,-75,-68
